,문장
0,ㅋㅋㅋ
1,윤석열 한동훈 쳐망할짓만함
2,미쳐 날뛰네.광화문집회 연설에 안세워주니 미쳐 돌아버렸냐?주제를 알라.
3,윤석열 저거 사악한 사회주의자임
4,반드시 막아야함
5,이 나라가 언제 정신차릴까
6,"우파라는 모자를 쓰고 휘드르니 노예근성의일부 우파 인사들까지 동조 더 심각하다.문재인이재명은 드러난 좌파라도 되지.문재인 못다이룬 꿈 윤석열이 열심이다.나라를 절단낸다 북, 중과 평준화로."
7,윤석열도 속은거라면  부산엑스포와 이번 의사탄압 부추긴 놈들 책임지고 사퇴시켜야함. 의사들 억대 연봉받는다고 서민들 자극시키는것도  너무 치졸함. 그럼  유재석이나 이정재는 돌로 처죽이기라도 해야하나? 의사보다 더 연봉많은 기득권이니까
8,ㅋㅋㅋ
9,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
12,ㅋㅋㅋㅋㅋㅋㅋ
13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14,ㅋㅋㅋㅋㅋ
15,ㅋㅋㅋㅋㅋㅋㅋ
16,ㅋㅋㅋ
17,친윤들 다낙선해라
18,입틀막 도장깨기
19,이번에는 어느당 대변인이냐?
20,의새당도 하나 만들어라
21,시중 여론조사 백퍼 지지율 조작
22,전청조총련 왕진진보 연합....북한땅에 파라다이스 지상낙원을 건설햇다는 본사 일성그룹의 지령에 따랐을게 불보듯 훤한...
23,찢죄명문재앙한텐 찍소리도 못하고 과학자 .의사나 괴롭힐려고 대통령하나? 문재앙이 막무가내로 원자력 때려잡을때랑 너무 비슷해서 소름끼침
24,간첩은 놔주고 의사쌤들은 잡아넣는다네. 시진핑이냐? 와 미쳤네
25,윤진핑
26,검찰독재 맞지 - dc App
27,"완전 정신병자네! 제정신 이냐? 파업 한다면서 먼저 협박 한게 우군데? 자업다득, 뿌린데로 거두는거다."
28,자유 민주국가에서 직업 전환의 자유가 있는데 추가 모집의 자유는 없누? 의사 때려치고 다른거 하면 되는데 왜 안하누?
29,ㅇㅇ
30,여론조작해야하는데 눈치 보이겠네 저놈들
31,보수는 비위만 살짝 맞춰주면돼. 윤석열총장은  문재인 대통령의 가장 믿을 만한 충신이야. 결국 언젠가는 반드시 다 알게 될 거야
32,역시 와이케이님
33,반드시 막아야함
34,사병 월급 인상으로 장교 자퇴 급증국방력 악화 킬러문항 배제로 학력 하향 평준화 모두 상향이 아니라 파괴로가는 길만 택함. 누구 지령이냐. 국가 발전을막고 중구과 북한을 이롭게 하는 일만 .친미로 위장 하고 안하무인 이 재명 절대싸우지 않음.
35,근데 다 떠나서 약사놈들 전통적으로 민주당 쪽이고 의사들이 우파성향이 많은데 윤석열 이새낀 진짜 레전드긴하다
36,진짜 이 새끼 보수쪽 대표로 내세운 홍석현 이 새끼가 진짜 대한민국 찢어죽일 매국노다
37,거기 부응해 같이 푸쉬해준 가세연 비롯 스피커새끼들
38,서민이 뽑아줬더니 서민들 세금폭탄에 열심히 살아서 집한채 있는 사람들만 피해보는 정책들 개쓰레기
39,코로나때 의사들 월급인상없이 출퇴근없이 가족도 못보고  병원에서 숙식하며  염전노예수준으로 환자돌보며 희생하던거 쌩까고 의사를 기득권으로 매도하며 부하취급하는 윤쩌뚱의 문화대혁명. 차라리 죽창으로 찌르는게 덜 잔인하겠다
40,이젠 이런 주장 걸러듣기로 했다무조건 쌍방 이야기 들어야해일방적으로 한쪽 이야기만으로 판단하지않기로 했다지금껏 선전ㆍ선동에 너무 많이 속았고 가스라이팅 당했다  - dc App
41,한동훈 좌파인건 알지?
42,중공의힘....리중공돌 대를이은 시택똥훈
43,달구&광주의 달빛동맹 달빛철도
44,도대체 어떻게 이런 정신질환자를 대통령으로 지지할수 있는지 의문이다
45,이건 좀 조심해랴~1좀 신중해야~1
46,환자가 모자라 일년에 600억넘게 적자보는 성남의료원보고도 의사수 적다는 소리가 나오냐? 옆에서 쓰레기같은 정책 부추기는 정신병자나  입원시켜라. 의사수만 존나많은 나라들 의료수준 쓰레긴거 다아는데 무상의료하는 북한식의료서비스 제공이 최종 목표냐? 국민들이 바보로 보이냐?
47,의료민영화만 문제가 아님. 의료 민영화 만약에 통과시킨 이후에 약값도 손댈것임. 그렇게 되면 약값도 엄청나게 오르겠지 윤석열 저 미친놈을 반드시 막아야함.
48,독재자는 이런 새끼가 독재자지
49,푸틴은 R&D예산 삭감은 커녕 더 늘리는 지도자임. 대부분 선진국 지도자들이 그러하고 근데 저새끼는 그걸 삭감하는 개또라이 새끼임
50,러시아 독재자 푸틴도 처음엔 저렇게 시작함...ㅠㅠ
51,일본도 저 지랄 안 떤다
52,ㅋㅋ 정말 비교된다
53,의인.
54,권력 압력에 못이겨 억지로 하는 듯한 저 악수 ㅋㅋ
55,찢좌빨한테 한번 이용당했는데 국힘좌빨이 또 이용해먹을려니 짜증날만도 하지.정치기득권들이 사람생명살리는 의사들 심판하고 마녀사냥하고 선거때면 이용해먹고 의사들이 뭔죄야? 의사가 모자란게 아니라 정치쓰레기들이  의사들을 사명감 포기하게 만드는거지. 돈포기하고 사명감으로 희생하고 봉사해도  죄인되고 인생망치는데 어느 의사가 희생하고싶겠니?
56,역시 똑똑하네
57,정치 입문 거절도 잘했고
58,둘이 친하다는데 무슨 헤어질때 이국종이 만화책도 선물함
59,이국종은 저런 정치쇼하는 사람들 제일 싫어하는 티가 남
60,한동훈이가 가식덩어리라 그러지 ㅋㅋ
61,이국종 국힘싫어하겟지 ㅋㅋㅋ
62,홍어가 만선이노
63,알엔드예산 줄인것은 좀 신중했어야~!
64,5공화국 때 시민항쟁하다가 끌려나가는 모습 같다
65,윤 말로가 걱정  - dc App
66,전에 국회의원도 한소리했다고 경호원들이 저리 개처럼 끌고갔지
67,저거 보고 그 안정권마저도 윤석열이랑 그 패거리들 아량이 그것밖에 안되는 사람들이냐고 어제 방송에서 존나 욕하더라
68,안희정차차차기  - dc App
69,나는 장원영 아이유  - dc App
70,기막히긴하다진짜 ㅋㅋㅋㅋㅋ말투 개지린다 진짜   - dc App
71,대통령 김건희 국무총리 전청조. 가슴이 웅장해진다
72,그것도 자기나라 국민들을 빨갱이로 몰아세우고 ....
