Date,interest rate,Price,Open,High,Low,Vol.,Change %,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-09-01,1.16,4921.9,4735.1,4925.2,4690.2,102010.0,3.94,1119.12,2476.550048828125,21987.560546875,6435.330078125,3.1135,1324.97,340.0,19692.595,246.435,-9.0,1
2017-09-02,1.16,4573.8,4921.9,4976.5,4448.6,160770.0,-7.07,1119.12,2457.85009765625,21753.310546875,6375.56982421875,3.1135,1324.97,340.0,19692.595,246.435,-9.0,0
2017-09-03,1.16,4612.9,4573.8,4719.8,4397.7,102820.0,0.86,1119.12,2457.85009765625,21753.310546875,6375.56982421875,3.1135,1324.97,340.0,19692.595,246.435,-9.0,1
2017-09-04,1.16,4267.5,4612.9,4621.0,4098.6,170400.0,-7.49,1119.12,2457.85009765625,21753.310546875,6375.56982421875,3.1135,1334.67,340.0,19692.595,246.435,-9.0,0
2017-09-05,1.16,4409.1,4267.5,4496.7,4004.6,158410.0,3.32,1130.01,2457.85009765625,21753.310546875,6375.56982421875,3.123,1339.33,344.25,19692.595,246.435,-9.0,1
2017-09-06,1.16,4618.7,4409.1,4660.0,4401.5,110930.0,4.75,1132.49,2465.5400390625,21807.640625,6393.31005859375,3.1465,1334.14,347.0,19692.595,246.435,-9.0,1
2017-09-07,1.16,4635.6,4618.7,4690.5,4493.2,70530.0,0.37,1125.49,2465.10009765625,21784.779296875,6397.8701171875,3.1385,1349.2,341.75,19692.595,246.435,-9.0,1
2017-09-08,1.16,4326.5,4635.6,4699.6,4130.9,180360.0,-6.67,1133.08,2461.429931640625,21797.7890625,6360.18994140625,3.036,1346.71,344.25,19692.595,246.435,-9.0,0
2017-09-09,1.16,4335.1,4326.5,4402.1,4185.3,77090.0,0.2,1129.75,2488.110107421875,22057.369140625,6432.259765625,3.036,1346.71,344.25,19692.595,246.435,-9.0,1
2017-09-10,1.16,4245.9,4335.1,4338.1,4032.1,108080.0,-2.06,1129.75,2488.110107421875,22057.369140625,6432.259765625,3.036,1346.71,344.25,19692.595,246.435,-9.0,0
2017-09-11,1.16,4217.9,4245.9,4364.4,4134.6,88760.0,-0.66,1129.75,2488.110107421875,22057.369140625,6432.259765625,3.06,1327.32,345.5,19692.595,246.435,-9.0,0
2017-09-12,1.16,4158.9,4217.9,4387.8,4075.0,107040.0,-1.4,1126.56,2496.47998046875,22118.859375,6454.27978515625,3.0295,1331.94,340.0,19692.595,246.435,-9.0,0
2017-09-13,1.16,3870.3,4158.9,4174.6,3752.0,186540.0,-6.94,1129.37,2498.3701171875,22158.1796875,6460.18994140625,2.975,1323.25,338.5,19692.595,246.435,-9.0,0
2017-09-14,1.16,3243.1,3870.3,3930.7,3219.0,317590.0,-16.21,1132.59,2495.6201171875,22203.48046875,6429.080078125,2.951,1329.83,341.75,19692.595,246.435,-9.0,0
2017-09-15,1.16,3713.8,3243.1,3824.4,2979.9,448550.0,14.51,1130.68,2500.22998046875,22268.33984375,6448.47021484375,2.9425,1319.62,354.75,19692.595,246.435,-9.0,1
2017-09-16,1.16,3698.9,3713.8,3893.7,3551.8,169360.0,-0.4,1127.07,2503.8701171875,22331.349609375,6454.64013671875,2.9425,1319.62,354.75,19692.595,246.435,-9.0,0
2017-09-17,1.16,3689.6,3698.9,3796.6,3485.8,96070.0,-0.25,1127.07,2503.8701171875,22331.349609375,6454.64013671875,2.9425,1319.62,354.75,19692.595,246.435,-9.0,0
2017-09-18,1.16,4100.3,3689.6,4122.8,3689.0,147930.0,11.13,1127.07,2503.8701171875,22331.349609375,6454.64013671875,2.9625,1307.57,351.5,19692.595,246.435,-9.0,1
2017-09-19,1.16,3908.0,4100.3,4120.7,3852.2,123220.0,-4.69,1128.83,2506.64990234375,22370.80078125,6461.31982421875,2.9625,1311.28,348.25,19692.595,246.435,-9.0,0
2017-09-20,1.16,3882.2,3908.0,4053.0,3846.8,86650.0,-0.66,1125.53,2508.239990234375,22412.58984375,6456.0400390625,2.962,1301.15,350.0,19692.595,246.435,-9.0,0
2017-09-21,1.16,3617.3,3882.2,3912.8,3576.5,145130.0,-6.82,1130.87,2500.60009765625,22359.23046875,6422.68994140625,2.9265,1291.39,350.25,19692.595,246.435,-9.0,0
2017-09-22,1.16,3600.8,3617.3,3753.5,3505.8,114720.0,-0.45,1130.39,2502.219970703125,22349.58984375,6426.919921875,2.937,1297.38,353.5,19692.595,246.435,-9.0,0
2017-09-23,1.16,3788.0,3600.8,3813.4,3563.2,67820.0,5.2,1134.59,2496.659912109375,22296.08984375,6370.58984375,2.937,1297.38,353.5,19692.595,246.435,-9.0,1
2017-09-24,1.16,3667.5,3788.0,3790.9,3633.9,49660.0,-3.18,1134.59,2496.659912109375,22296.08984375,6370.58984375,2.937,1297.38,353.5,19692.595,246.435,-9.0,0
2017-09-25,1.16,3932.8,3667.5,3971.5,3665.7,100200.0,7.23,1134.59,2496.659912109375,22296.08984375,6370.58984375,2.93,1310.55,353.75,19692.595,246.435,-9.0,1
2017-09-26,1.16,3892.7,3932.8,3982.3,3858.8,63250.0,-1.02,1136.29,2496.840087890625,22284.3203125,6380.16015625,2.9105,1293.89,352.25,19692.595,246.435,-9.0,0
2017-09-27,1.16,4212.2,3892.7,4232.4,3882.1,117600.0,8.21,1141.62,2507.0400390625,22340.7109375,6453.259765625,2.922,1281.12,354.0,19692.595,246.435,-9.0,1
2017-09-28,1.16,4195.6,4212.2,4274.6,4112.9,92230.0,-0.39,1145.08,2510.06005859375,22381.19921875,6453.4501953125,2.981,1287.3,352.5,19692.595,246.435,-9.0,0
2017-09-29,1.06,4172.8,4195.6,4237.5,4030.4,97800.0,-0.54,1142.57,2519.360107421875,22405.08984375,6495.9599609375,2.955,1279.45,355.25,19692.595,246.435,-9.0,0
2017-09-30,1.06,4360.6,4172.8,4383.3,4164.3,67490.0,4.5,1146.18,2529.1201171875,22557.599609375,6516.72021484375,2.955,1279.45,355.25,19692.595,246.435,-9.0,1
2017-10-01,1.06,4403.1,4360.6,4412.6,4258.3,60580.0,0.97,1146.18,2529.1201171875,22557.599609375,6516.72021484375,2.955,1279.45,355.25,20037.088,246.626,7.0,1
2017-10-02,1.16,4401.3,4403.1,4477.4,4364.7,71200.0,-0.04,1146.18,2529.1201171875,22557.599609375,6516.72021484375,2.9555,1271.12,351.5,20037.088,246.626,7.0,0
2017-10-03,1.16,4314.2,4401.3,4436.0,4230.7,81870.0,-1.98,1140.5,2534.580078125,22641.669921875,6531.7099609375,2.9635,1271.75,349.5,20037.088,246.626,7.0,0
2017-10-04,1.16,4218.7,4314.2,4355.3,4183.6,64080.0,-2.21,1140.44,2537.739990234375,22661.640625,6534.6298828125,2.959,1274.69,348.25,20037.088,246.626,7.0,0
2017-10-05,1.16,4321.4,4218.7,4365.8,4143.4,63610.0,2.44,1139.03,2552.070068359375,22775.390625,6585.35986328125,3.0465,1268.05,349.5,20037.088,246.626,7.0,1
2017-10-06,1.16,4371.9,4321.4,4422.1,4296.9,61690.0,1.17,1143.46,2549.330078125,22773.669921875,6590.18017578125,3.029,1276.03,350.0,20037.088,246.626,7.0,1
2017-10-07,1.16,4435.8,4371.9,4472.9,4319.5,40200.0,1.46,1143.46,2544.72998046875,22761.0703125,6579.72998046875,3.029,1276.03,350.0,20037.088,246.626,7.0,1
