Date,interest rate,Price,Vol.,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-09-01,1.16,4921.9,102010.0,1119.12,2476.550048828125,21987.560546875,6435.330078125,3.1135,1324.97,340.0,19692.595,246.435,-9.0,1
2017-09-02,1.16,4573.8,160770.0,1119.12,2457.85009765625,21753.310546875,6375.56982421875,3.1135,1324.97,340.0,19692.595,246.435,-9.0,0
2017-09-03,1.16,4612.9,102820.0,1119.12,2457.85009765625,21753.310546875,6375.56982421875,3.1135,1324.97,340.0,19692.595,246.435,-9.0,1
2017-09-04,1.16,4267.5,170400.0,1119.12,2457.85009765625,21753.310546875,6375.56982421875,3.1135,1334.67,340.0,19692.595,246.435,-9.0,0
2017-09-05,1.16,4409.1,158410.0,1130.01,2457.85009765625,21753.310546875,6375.56982421875,3.123,1339.33,344.25,19692.595,246.435,-9.0,1
2017-09-06,1.16,4618.7,110930.0,1132.49,2465.5400390625,21807.640625,6393.31005859375,3.1465,1334.14,347.0,19692.595,246.435,-9.0,1
2017-09-07,1.16,4635.6,70530.0,1125.49,2465.10009765625,21784.779296875,6397.8701171875,3.1385,1349.2,341.75,19692.595,246.435,-9.0,1
2017-09-08,1.16,4326.5,180360.0,1133.08,2461.429931640625,21797.7890625,6360.18994140625,3.036,1346.71,344.25,19692.595,246.435,-9.0,0
2017-09-09,1.16,4335.1,77090.0,1129.75,2488.110107421875,22057.369140625,6432.259765625,3.036,1346.71,344.25,19692.595,246.435,-9.0,1
2017-09-10,1.16,4245.9,108080.0,1129.75,2488.110107421875,22057.369140625,6432.259765625,3.036,1346.71,344.25,19692.595,246.435,-9.0,0
2017-09-11,1.16,4217.9,88760.0,1129.75,2488.110107421875,22057.369140625,6432.259765625,3.06,1327.32,345.5,19692.595,246.435,-9.0,0
2017-09-12,1.16,4158.9,107040.0,1126.56,2496.47998046875,22118.859375,6454.27978515625,3.0295,1331.94,340.0,19692.595,246.435,-9.0,0
2017-09-13,1.16,3870.3,186540.0,1129.37,2498.3701171875,22158.1796875,6460.18994140625,2.975,1323.25,338.5,19692.595,246.435,-9.0,0
2017-09-14,1.16,3243.1,317590.0,1132.59,2495.6201171875,22203.48046875,6429.080078125,2.951,1329.83,341.75,19692.595,246.435,-9.0,0
2017-09-15,1.16,3713.8,448550.0,1130.68,2500.22998046875,22268.33984375,6448.47021484375,2.9425,1319.62,354.75,19692.595,246.435,-9.0,1
2017-09-16,1.16,3698.9,169360.0,1127.07,2503.8701171875,22331.349609375,6454.64013671875,2.9425,1319.62,354.75,19692.595,246.435,-9.0,0
2017-09-17,1.16,3689.6,96070.0,1127.07,2503.8701171875,22331.349609375,6454.64013671875,2.9425,1319.62,354.75,19692.595,246.435,-9.0,0
2017-09-18,1.16,4100.3,147930.0,1127.07,2503.8701171875,22331.349609375,6454.64013671875,2.9625,1307.57,351.5,19692.595,246.435,-9.0,1
2017-09-19,1.16,3908.0,123220.0,1128.83,2506.64990234375,22370.80078125,6461.31982421875,2.9625,1311.28,348.25,19692.595,246.435,-9.0,0
2017-09-20,1.16,3882.2,86650.0,1125.53,2508.239990234375,22412.58984375,6456.0400390625,2.962,1301.15,350.0,19692.595,246.435,-9.0,0
2017-09-21,1.16,3617.3,145130.0,1130.87,2500.60009765625,22359.23046875,6422.68994140625,2.9265,1291.39,350.25,19692.595,246.435,-9.0,0
2017-09-22,1.16,3600.8,114720.0,1130.39,2502.219970703125,22349.58984375,6426.919921875,2.937,1297.38,353.5,19692.595,246.435,-9.0,0
2017-09-23,1.16,3788.0,67820.0,1134.59,2496.659912109375,22296.08984375,6370.58984375,2.937,1297.38,353.5,19692.595,246.435,-9.0,1
2017-09-24,1.16,3667.5,49660.0,1134.59,2496.659912109375,22296.08984375,6370.58984375,2.937,1297.38,353.5,19692.595,246.435,-9.0,0
2017-09-25,1.16,3932.8,100200.0,1134.59,2496.659912109375,22296.08984375,6370.58984375,2.93,1310.55,353.75,19692.595,246.435,-9.0,1
2017-09-26,1.16,3892.7,63250.0,1136.29,2496.840087890625,22284.3203125,6380.16015625,2.9105,1293.89,352.25,19692.595,246.435,-9.0,0
2017-09-27,1.16,4212.2,117600.0,1141.62,2507.0400390625,22340.7109375,6453.259765625,2.922,1281.12,354.0,19692.595,246.435,-9.0,1
2017-09-28,1.16,4195.6,92230.0,1145.08,2510.06005859375,22381.19921875,6453.4501953125,2.981,1287.3,352.5,19692.595,246.435,-9.0,0
2017-09-29,1.06,4172.8,97800.0,1142.57,2519.360107421875,22405.08984375,6495.9599609375,2.955,1279.45,355.25,19692.595,246.435,-9.0,0
2017-09-30,1.06,4360.6,67490.0,1146.18,2529.1201171875,22557.599609375,6516.72021484375,2.955,1279.45,355.25,19692.595,246.435,-9.0,1
