,날짜,종가,시가,고가,저가,거래량,변동 %
0,2024-03-14,4.0455,4.06,4.081,4.0175,0.0,-0.36
1,2024-03-13,4.06,3.9375,4.069,3.919,161600.0,3.26
2,2024-03-12,3.932,3.9315,3.952,3.902,81020.0,0.09
3,2024-03-11,3.9285,3.8935,3.932,3.8785,59150.0,0.95
4,2024-03-08,3.8915,3.9255,3.9465,3.8815,84130.0,-0.88
5,2024-03-07,3.926,3.8725,3.942,3.8695,87750.0,1.32
6,2024-03-06,3.875,3.8435,3.897,3.837,69940.0,0.73
7,2024-03-05,3.847,3.8575,3.8735,3.838,58910.0,-0.26
8,2024-03-04,3.857,3.8575,3.888,3.8435,60880.0,-0.12
9,2024-03-01,3.8615,3.847,3.873,3.818,63310.0,0.38
10,2024-02-29,3.847,3.839,3.8685,3.834,63450.0,0.17
11,2024-02-28,3.8405,3.854,3.8545,3.8215,58450.0,-0.01
12,2024-02-27,3.841,3.827,3.853,3.827,1100.0,0.41
13,2024-02-26,3.8255,3.8745,3.878,3.826,550.0,-1.68
14,2024-02-23,3.891,3.9055,3.9085,3.8565,510.0,-0.61
15,2024-02-22,3.915,3.8925,3.9165,3.878,63680.0,0.71
16,2024-02-21,3.8875,3.87,3.913,3.86,62640.0,0.31
17,2024-02-20,3.8755,3.833,3.879,3.8115,60950.0,1.69
18,2024-02-19,3.811,3.8167,3.8293,3.8033,0.0,-0.15
19,2024-02-18,3.8167,3.822,3.8222,3.8098,0.0,-0.9
20,2024-02-16,3.8515,3.7735,3.855,3.769,47150.0,2.09
21,2024-02-15,3.7725,3.721,3.7755,3.719,34880.0,1.96
22,2024-02-14,3.7,3.709,3.7255,3.6895,0.0,-0.3
23,2024-02-13,3.711,3.7215,3.7545,3.703,0.0,-0.35
24,2024-02-12,3.724,3.6895,3.726,3.667,0.0,1.15
25,2024-02-09,3.6815,3.708,3.713,3.655,0.0,-0.55
26,2024-02-08,3.702,3.7355,3.763,3.679,0.0,-0.9
27,2024-02-07,3.7355,3.784,3.795,3.7315,0.0,-1.26
28,2024-02-06,3.783,3.769,3.7973,3.7668,0.0,0.3
29,2024-02-05,3.7715,3.819,3.833,3.7635,0.0,-1.31
30,2024-02-02,3.8215,3.8545,3.8625,3.8165,0.0,-0.83
31,2024-02-01,3.8535,3.8965,3.8975,3.845,0.0,-1.34
32,2024-01-31,3.906,3.9135,3.947,3.8835,0.0,-0.13
33,2024-01-30,3.911,3.885,3.917,3.8605,0.0,0.82
34,2024-01-29,3.879,3.853,3.89,3.8275,0.0,0.7
35,2024-01-26,3.852,3.868,3.8865,3.845,0.0,-0.44
36,2024-01-25,3.869,3.8735,3.8935,3.8585,0.0,-0.44
37,2024-01-24,3.886,3.806,3.888,3.795,0.0,2.44
38,2024-01-23,3.7935,3.7485,3.8085,3.7475,0.0,0.8
39,2024-01-22,3.7635,3.7895,3.7915,3.744,0.0,-0.61
40,2024-01-19,3.7865,3.7565,3.792,3.743,0.0,1.11
41,2024-01-18,3.745,3.744,3.759,3.7145,0.0,0.32
