,날짜,종가,시가,고가,저가,거래량,변동 %
0,2024-03-15,435.4,434.12,435.62,434.0,0.0,0.38
1,2024-03-14,433.75,441.0,442.25,433.0,0.0,1.7
2,2024-03-13,426.5,430.0,432.5,430.0,80.0,-0.58
3,2024-03-12,429.0,425.0,435.0,424.75,530.0,0.18
4,2024-03-11,428.25,421.75,428.5,419.75,620.0,0.47
5,2024-03-08,426.25,424.25,426.5,420.5,760.0,0.06
6,2024-03-07,426.0,418.25,427.5,418.25,1650.0,1.91
7,2024-03-06,418.0,413.25,416.25,412.0,2540.0,1.09
8,2024-03-05,413.5,417.25,418.0,412.5,1540.0,-0.96
9,2024-03-04,417.5,412.0,420.75,412.0,2210.0,1.27
10,2024-03-01,412.25,415.5,418.0,409.25,3480.0,-4.02
11,2024-02-29,429.5,429.25,432.0,423.75,145910.0,0.23
12,2024-02-28,428.5,423.75,430.5,421.75,227190.0,1.18
13,2024-02-27,423.5,421.0,426.5,421.0,223740.0,4.05
14,2024-02-26,407.0,399.75,407.75,394.5,227180.0,1.81
15,2024-02-23,399.75,406.0,409.25,398.5,218220.0,-1.54
16,2024-02-22,406.0,410.0,415.5,404.25,199940.0,-1.22
17,2024-02-21,411.0,418.5,419.5,410.0,180050.0,-1.85
18,2024-02-20,418.75,416.25,421.5,414.75,217840.0,0.54
19,2024-02-16,416.5,417.5,421.5,415.0,176970.0,-0.3
20,2024-02-15,417.75,424.0,425.0,417.25,217730.0,-1.53
21,2024-02-14,424.25,430.75,431.0,422.25,230220.0,-1.51
22,2024-02-13,430.75,430.25,434.75,428.75,182680.0,0.06
23,2024-02-12,430.5,430.25,432.75,427.75,198800.0,0.35
24,2024-02-09,429.0,433.0,437.0,428.25,206270.0,-0.98
25,2024-02-08,433.25,434.5,437.0,429.75,222880.0,-0.23
26,2024-02-07,434.25,438.5,439.25,432.75,245420.0,-1.03
27,2024-02-06,438.75,442.75,445.5,438.25,193360.0,-0.9
28,2024-02-05,442.75,442.75,445.0,439.5,137660.0,0.0
29,2024-02-02,442.75,446.5,448.75,442.0,129450.0,-1.01
30,2024-02-01,447.25,448.0,448.0,443.5,153720.0,-0.22
31,2024-01-31,448.25,447.25,448.75,443.25,135490.0,0.11
32,2024-01-30,447.75,439.75,448.25,436.5,194900.0,1.7
33,2024-01-29,440.25,446.25,447.5,437.5,203570.0,-1.34
34,2024-01-26,446.25,451.0,451.75,445.5,135730.0,-1.22
35,2024-01-25,451.75,451.5,453.25,447.5,169290.0,-0.11
36,2024-01-24,452.25,446.5,452.75,446.25,156000.0,1.29
37,2024-01-23,446.5,445.75,450.5,444.0,152300.0,0.17
38,2024-01-22,445.75,445.5,448.0,444.0,112770.0,0.06
39,2024-01-19,445.5,443.5,449.5,443.0,148100.0,0.34
40,2024-01-18,444.0,442.0,445.0,436.75,180950.0,0.4
41,2024-01-17,442.25,443.5,448.25,440.0,205710.0,-0.28
42,2024-01-16,443.5,447.75,451.25,442.0,175650.0,-0.78
43,2024-01-12,447.0,457.0,460.0,441.0,314100.0,-2.35
44,2024-01-11,457.75,459.0,461.5,455.75,165190.0,-0.38
45,2024-01-10,459.5,459.0,461.75,454.5,193510.0,0.05
46,2024-01-09,459.25,454.75,460.5,451.75,215150.0,0.93
47,2024-01-08,455.0,461.0,462.5,452.0,214320.0,-1.25
48,2024-01-05,460.75,466.5,467.75,460.0,151590.0,-1.23
49,2024-01-04,466.5,465.0,469.0,463.5,127030.0,0.27
50,2024-01-03,465.25,464.75,466.0,461.75,147910.0,0.32
51,2024-01-02,463.75,470.5,470.75,462.5,187190.0,-1.59
52,2023-12-29,471.25,473.75,475.0,470.5,109650.0,-0.63
53,2023-12-28,474.25,476.0,478.75,474.0,99400.0,-0.47
54,2023-12-27,476.5,479.75,480.25,474.5,107950.0,-0.78
55,2023-12-26,480.25,473.0,481.0,471.5,114200.0,1.53
56,2023-12-22,473.0,472.5,474.0,471.5,80480.0,0.11
57,2023-12-21,472.5,470.0,474.0,469.25,108600.0,0.59
58,2023-12-20,469.75,472.75,475.5,468.25,131030.0,-0.63
59,2023-12-19,472.75,477.25,478.25,471.5,130030.0,-0.89
60,2023-12-18,477.0,482.5,482.75,475.5,129450.0,-1.24
61,2023-12-15,483.0,479.25,484.0,477.75,108550.0,5.75
62,2023-12-14,456.75,459.0,460.0,456.75,10.0,0.0
63,2023-12-13,456.75,462.5,462.5,455.0,260.0,-1.24
64,2023-12-12,462.5,459.25,467.0,459.25,270.0,0.43
65,2023-12-11,460.5,465.5,466.25,461.0,380.0,-1.13
66,2023-12-08,465.75,468.0,472.0,466.25,320.0,-0.53
67,2023-12-07,468.25,465.0,469.25,465.0,320.0,0.75
68,2023-12-06,464.75,467.75,473.0,463.75,350.0,-0.8
69,2023-12-05,468.5,460.25,468.5,460.25,640.0,1.79
70,2023-12-04,460.25,461.25,463.75,457.0,1930.0,-0.91
71,2023-12-01,464.5,460.25,469.5,458.25,3310.0,-3.78
72,2023-11-30,482.75,475.25,484.5,475.0,189360.0,1.47
73,2023-11-29,475.75,473.5,477.25,470.5,257320.0,0.48
74,2023-11-28,473.5,475.25,476.75,471.0,263240.0,-0.37
75,2023-11-27,475.25,483.25,485.0,473.0,211130.0,-1.5
76,2023-11-24,482.5,487.5,489.25,481.75,109600.0,-1.08
77,2023-11-22,487.75,488.25,493.25,487.0,131960.0,-0.26
78,2023-11-21,489.0,487.5,493.25,486.0,142280.0,0.31
79,2023-11-20,487.5,485.5,488.25,482.5,111050.0,0.46
80,2023-11-17,485.25,493.25,493.5,485.0,106980.0,-1.62
81,2023-11-16,493.25,488.75,494.25,483.5,139100.0,0.97
82,2023-11-15,488.5,493.75,496.5,485.0,188610.0,2.14
83,2023-11-14,478.25,477.0,480.0,473.0,183140.0,0.21
84,2023-11-13,477.25,463.25,477.75,461.0,249730.0,2.86
85,2023-11-10,464.0,468.0,469.0,461.75,230540.0,-0.85
86,2023-11-09,468.0,475.0,476.0,466.5,257160.0,-1.68
87,2023-11-08,476.0,469.0,480.5,468.5,322780.0,1.6
88,2023-11-07,468.5,477.0,477.5,468.0,215810.0,-1.83
89,2023-11-06,477.25,477.25,480.75,476.75,131650.0,0.0
90,2023-11-03,477.25,470.0,481.25,468.0,200220.0,1.54
91,2023-11-02,470.0,475.0,477.0,469.5,202190.0,-1.05
92,2023-11-01,475.0,478.75,480.0,472.5,180120.0,-0.78
93,2023-10-31,478.75,478.25,483.0,477.5,136050.0,0.1
94,2023-10-30,478.25,480.0,484.25,477.5,136570.0,-0.52
95,2023-10-27,480.75,479.25,484.0,478.25,126300.0,0.31
96,2023-10-26,479.25,480.0,484.25,477.5,190730.0,-0.16
97,2023-10-25,480.0,483.5,486.0,476.75,177280.0,-0.83
98,2023-10-24,484.0,490.75,491.5,482.75,161080.0,-1.27
99,2023-10-23,490.25,494.25,497.0,490.25,126440.0,-1.06
100,2023-10-20,495.5,504.0,509.5,495.0,264540.0,-1.88
101,2023-10-19,505.0,492.0,505.5,490.25,279440.0,2.64
102,2023-10-18,492.0,488.5,494.0,488.5,119270.0,0.61
103,2023-10-17,489.0,490.0,492.75,487.75,102030.0,-0.2
104,2023-10-16,490.0,493.5,496.75,489.5,113490.0,-0.66
105,2023-10-13,493.25,495.0,498.75,490.5,138230.0,-0.55
106,2023-10-12,496.0,487.75,498.75,482.25,208370.0,1.64
107,2023-10-11,488.0,485.5,488.5,483.5,102590.0,0.51
108,2023-10-10,485.5,488.0,488.25,484.25,110080.0,-0.56
109,2023-10-09,488.25,492.0,497.0,487.25,115530.0,-0.76
110,2023-10-06,492.0,496.0,499.0,491.5,125230.0,-1.11
111,2023-10-05,497.5,486.0,498.5,482.5,186340.0,2.37
112,2023-10-04,486.0,487.5,489.75,482.5,129880.0,-0.31
113,2023-10-03,487.5,488.0,489.25,484.25,138100.0,-0.26
114,2023-10-02,488.75,477.0,489.75,476.0,159220.0,2.52
115,2023-09-29,476.75,487.5,490.0,475.5,209420.0,-2.41
116,2023-09-28,488.5,483.75,489.25,481.0,114320.0,1.09
117,2023-09-27,483.25,479.75,486.75,479.0,125710.0,0.73
118,2023-09-26,479.75,481.0,483.5,476.5,117590.0,-0.31
119,2023-09-25,481.25,475.25,482.5,473.75,101590.0,0.84
120,2023-09-22,477.25,475.0,478.5,474.25,88610.0,0.42
121,2023-09-21,475.25,481.0,482.5,474.0,115200.0,-1.45
122,2023-09-20,482.25,476.0,483.0,474.5,162300.0,1.26
123,2023-09-19,476.25,471.25,477.0,467.75,139650.0,1.01
124,2023-09-18,471.5,475.25,478.75,469.0,143320.0,-1.0
125,2023-09-15,476.25,480.0,483.5,475.0,110380.0,2.97
126,2023-09-14,462.5,455.75,459.25,455.75,90.0,-0.32
127,2023-09-13,464.0,466.75,467.75,462.5,120.0,0.16
128,2023-09-12,463.25,473.5,473.5,462.75,170.0,-1.7
129,2023-09-11,471.25,470.25,471.5,468.0,430.0,0.59
130,2023-09-08,468.5,471.25,472.25,467.0,230.0,-0.48
131,2023-09-07,470.75,471.25,474.0,468.5,740.0,-0.16
132,2023-09-06,471.5,473.5,476.25,471.25,840.0,0.11
133,2023-09-05,471.0,466.0,473.75,462.5,1550.0,1.34
134,2023-09-01,464.75,461.0,468.25,460.25,3310.0,0.81
135,2023-08-31,461.0,461.75,468.0,459.0,12070.0,-0.16
136,2023-08-30,461.75,469.0,474.75,460.25,74610.0,-1.65
137,2023-08-29,469.5,476.5,483.0,468.5,98800.0,-1.88
138,2023-08-28,478.5,476.25,480.0,472.25,87580.0,1.65
139,2023-08-25,470.75,471.25,477.0,469.0,84410.0,-0.32
140,2023-08-24,472.25,476.25,480.5,468.5,85160.0,-0.84
141,2023-08-23,476.25,467.0,478.25,465.5,84520.0,2.09
142,2023-08-22,466.5,469.25,472.5,461.0,72980.0,-0.59
143,2023-08-21,469.25,486.0,493.0,468.0,74710.0,-2.14
144,2023-08-18,479.5,473.75,482.5,472.5,66480.0,1.37
145,2023-08-17,473.0,470.0,475.0,464.75,69170.0,0.75
146,2023-08-16,469.5,463.0,473.0,462.0,70840.0,1.19
147,2023-08-15,464.0,474.0,474.0,462.0,89970.0,-2.47
148,2023-08-14,475.75,476.25,479.75,468.75,73610.0,0.26
149,2023-08-11,474.5,483.0,494.75,470.5,174430.0,-1.81
150,2023-08-10,483.25,481.5,485.5,480.0,93320.0,0.47
151,2023-08-09,481.0,485.75,490.0,479.0,120220.0,-0.98
152,2023-08-08,485.75,482.0,488.75,477.25,124550.0,0.73
153,2023-08-07,482.25,484.75,488.5,476.0,164880.0,-0.41
154,2023-08-04,484.25,482.5,493.5,480.25,96910.0,0.73
155,2023-08-03,480.75,486.25,489.75,480.25,101380.0,-1.54
156,2023-08-02,488.25,497.25,512.25,485.75,158410.0,-1.76
157,2023-08-01,497.0,504.0,508.0,496.5,116230.0,-1.39
158,2023-07-31,504.0,516.25,516.25,498.5,111160.0,-3.26
159,2023-07-28,521.0,533.0,538.5,516.75,90550.0,-2.3
160,2023-07-27,533.25,540.25,547.0,532.25,95910.0,-1.3
161,2023-07-26,540.25,557.0,557.25,536.75,106980.0,-3.09
162,2023-07-25,557.5,559.75,563.75,545.5,104800.0,-0.54
163,2023-07-24,560.5,534.0,564.5,531.5,115440.0,6.36
164,2023-07-21,527.0,536.5,538.75,522.5,121030.0,-1.91
165,2023-07-20,537.25,545.0,554.5,533.0,123960.0,-1.51
166,2023-07-19,545.5,526.75,557.5,525.75,193390.0,3.17
167,2023-07-18,528.75,497.75,534.75,495.25,132500.0,5.91
168,2023-07-17,499.25,512.0,519.75,496.25,87970.0,-16.76
169,2023-07-14,599.75,609.75,614.75,604.75,80.0,1.05
170,2023-07-13,593.5,547.5,593.75,547.5,130.0,7.96
171,2023-07-12,549.75,573.0,574.5,547.25,710.0,-3.85
172,2023-07-11,571.75,567.5,585.5,567.5,790.0,0.18
173,2023-07-10,570.75,561.0,572.0,561.0,520.0,1.83
174,2023-07-07,560.5,567.0,571.75,560.0,1320.0,-1.1
175,2023-07-06,566.75,547.25,569.25,547.25,1410.0,3.37
176,2023-07-05,548.25,558.0,564.25,545.5,1920.0,-1.62
177,2023-07-03,557.25,558.5,568.25,553.25,1610.0,0.5
178,2023-06-30,554.5,585.0,595.0,552.0,6460.0,-4.56
179,2023-06-29,581.0,591.75,603.5,574.0,42590.0,-1.53
180,2023-06-28,590.0,625.0,630.75,582.0,89620.0,-5.3
181,2023-06-27,623.0,643.0,644.5,622.25,93040.0,-2.24
182,2023-06-26,637.25,634.5,649.75,621.0,117530.0,1.03
183,2023-06-23,630.75,655.75,657.5,629.0,142970.0,-4.5
184,2023-06-22,660.5,668.25,670.25,653.0,117760.0,-1.56
185,2023-06-21,671.0,650.0,672.5,647.25,150760.0,4.23
186,2023-06-20,643.75,640.75,647.0,635.5,151990.0,0.55
187,2023-06-16,640.25,623.0,641.0,622.25,223690.0,2.73
188,2023-06-15,623.25,608.0,626.5,607.25,194030.0,2.55
189,2023-06-14,607.75,610.25,618.75,601.5,187540.0,-0.78
190,2023-06-13,612.5,617.0,625.0,610.75,202990.0,-0.77
191,2023-06-12,617.25,609.0,623.75,608.75,208160.0,2.15
192,2023-06-09,604.25,608.25,609.0,597.5,174690.0,-0.98
193,2023-06-08,610.25,600.0,613.25,595.25,178770.0,0.99
194,2023-06-07,604.25,605.0,612.5,601.75,174300.0,-0.62
195,2023-06-06,608.0,599.75,610.75,599.75,185930.0,1.76
196,2023-06-05,597.5,609.0,614.0,595.0,168380.0,-1.89
197,2023-06-02,609.0,592.5,610.5,581.25,199860.0,2.78
198,2023-06-01,592.5,594.0,606.0,591.75,153590.0,-0.25
199,2023-05-31,594.0,594.25,594.75,577.5,170160.0,0.0
200,2023-05-30,594.0,603.75,605.0,591.5,176210.0,-1.66
201,2023-05-26,604.0,590.25,606.75,588.25,178640.0,2.24
202,2023-05-25,590.75,587.5,593.0,583.5,145550.0,0.6
203,2023-05-24,587.25,577.0,589.75,574.0,152820.0,1.69
204,2023-05-23,577.5,570.25,580.75,564.0,133380.0,1.14
205,2023-05-22,571.0,554.75,575.5,553.25,148540.0,2.98
206,2023-05-19,554.5,555.0,571.75,551.5,183020.0,-0.14
207,2023-05-18,555.25,561.25,561.75,547.0,181020.0,-1.11
208,2023-05-17,561.5,581.75,582.75,554.25,265000.0,-3.4
209,2023-05-16,581.25,592.0,593.0,578.25,133850.0,-1.9
210,2023-05-15,592.5,581.5,598.75,581.5,164170.0,-6.44
211,2023-05-12,633.25,634.75,638.75,623.5,240.0,0.12
212,2023-05-11,632.5,641.75,648.0,632.0,990.0,-2.01
213,2023-05-10,645.5,642.0,649.75,637.25,1070.0,0.51
214,2023-05-09,642.25,654.75,654.75,639.5,1590.0,-2.17
215,2023-05-08,656.5,652.75,658.5,651.5,680.0,0.5
216,2023-05-05,653.25,644.0,656.25,644.0,1220.0,1.04
217,2023-05-04,646.5,642.25,649.5,637.5,2270.0,0.19
218,2023-05-03,645.25,636.5,646.0,626.5,2080.0,1.14
219,2023-05-02,638.0,641.75,652.0,635.5,5510.0,-0.23
220,2023-05-01,639.5,632.5,641.0,628.0,2750.0,0.55
221,2023-04-28,636.0,628.25,639.0,622.0,13720.0,1.44
222,2023-04-27,627.0,642.0,644.25,621.75,59710.0,-2.26
223,2023-04-26,641.5,648.0,652.25,641.0,65290.0,-0.77
224,2023-04-25,646.5,651.25,653.0,641.5,100630.0,-0.73
225,2023-04-24,651.25,663.25,667.5,648.5,134980.0,-1.81
226,2023-04-21,663.25,664.25,665.5,656.5,127470.0,-0.08
227,2023-04-20,663.75,672.0,674.0,661.5,120920.0,-1.26
228,2023-04-19,672.25,675.75,680.0,671.0,114510.0,-0.77
229,2023-04-18,677.5,676.0,682.5,669.75,130890.0,0.15
230,2023-04-17,676.5,666.0,677.0,662.25,146900.0,1.54
231,2023-04-14,666.25,653.75,668.0,651.0,154000.0,2.15
232,2023-04-13,652.25,656.0,661.75,651.5,147150.0,-0.57
233,2023-04-12,656.0,651.0,658.5,648.75,150110.0,0.77
234,2023-04-11,651.0,653.5,657.75,646.75,200260.0,-0.46
235,2023-04-10,654.0,644.5,655.0,640.25,150100.0,1.63
236,2023-04-07,643.5,643.5,643.5,643.5,0.0,0.0
237,2023-04-06,643.5,652.25,652.5,641.75,132980.0,-1.42
238,2023-04-05,652.75,653.75,660.0,646.5,143560.0,-0.15
239,2023-04-04,653.75,657.0,657.5,648.5,140100.0,-0.61
240,2023-04-03,657.75,659.5,668.5,656.0,153870.0,-0.42
241,2023-03-31,660.5,648.75,664.5,647.25,201890.0,1.69
242,2023-03-30,649.5,649.75,654.75,648.0,119490.0,-0.15
243,2023-03-29,650.5,646.25,655.5,645.75,156690.0,0.5
244,2023-03-28,647.25,646.75,651.25,644.5,135240.0,-0.15
245,2023-03-27,648.25,643.0,648.75,637.0,145570.0,0.82
246,2023-03-24,643.0,631.0,645.0,627.5,191260.0,1.78
247,2023-03-23,631.75,633.0,644.0,627.25,186440.0,-0.28
248,2023-03-22,633.5,631.25,636.0,623.25,154750.0,0.56
249,2023-03-21,630.0,632.75,638.25,628.75,133310.0,-0.47
250,2023-03-20,633.0,633.0,634.0,625.0,115790.0,-0.2
251,2023-03-17,634.25,633.25,638.75,630.25,141480.0,0.24
252,2023-03-16,632.75,626.0,635.0,624.75,167310.0,1.0
253,2023-03-15,626.5,623.75,629.0,619.25,156410.0,-0.16
254,2023-03-14,627.5,624.0,627.5,624.0,120.0,0.48
255,2023-03-13,624.5,622.25,629.0,622.25,540.0,0.04
256,2023-03-10,624.25,620.0,626.75,618.5,540.0,2.09
257,2023-03-09,611.5,625.5,629.75,610.25,223650.0,-2.24
258,2023-03-08,625.5,635.0,637.5,624.5,161080.0,-1.38
259,2023-03-07,634.25,637.5,638.75,633.25,101170.0,-0.43
260,2023-03-06,637.0,639.0,640.25,634.0,110480.0,-1.28
261,2023-03-03,645.25,639.75,648.25,638.25,1040.0,1.18
262,2023-03-02,637.75,641.0,647.25,636.0,1870.0,-0.43
