,날짜,종가,시가,고가,저가,거래량,변동 %
0,2024-03-14,2161.01,2174.29,2177.1,2152.86,0,-0.62
1,2024-03-13,2174.4,2158.25,2179.91,2155.54,0,0.76
2,2024-03-12,2157.99,2183.0,2184.86,2150.59,0,-1.12
3,2024-03-11,2182.47,2177.71,2189.04,2174.8,0,0.23
4,2024-03-08,2177.51,2159.4,2195.2,2154.08,0,0.85
5,2024-03-07,2159.16,2148.54,2164.54,2144.29,0,0.51
6,2024-03-06,2148.29,2127.95,2152.29,2123.65,0,0.98
7,2024-03-05,2127.55,2115.15,2142.15,2110.52,0,0.59
8,2024-03-04,2114.99,2082.09,2119.95,2079.45,0,1.52
9,2024-03-01,2083.39,2043.44,2088.4,2038.55,0,1.96
10,2024-02-29,2043.24,2034.92,2050.79,2027.75,0,0.42
11,2024-02-28,2034.62,2030.05,2038.3,2024.56,0,0.25
12,2024-02-27,2029.64,2030.99,2039.99,2028.78,0,-0.05
13,2024-02-26,2030.66,2034.49,2037.59,2025.1,0,-0.25
14,2024-02-23,2035.72,2024.49,2041.43,2015.55,0,0.57
15,2024-02-22,2024.11,2025.24,2034.84,2019.7,0,-0.04
16,2024-02-21,2024.99,2023.8,2032.22,2020.19,0,0.07
17,2024-02-20,2023.53,2017.99,2030.96,2015.02,0,0.29
18,2024-02-19,2017.63,2013.16,2023.34,2011.57,0,0.22
19,2024-02-16,2013.1,2004.4,2015.25,1995.26,0,0.45
20,2024-02-15,2004.09,1992.69,2008.49,1990.25,0,0.59
21,2024-02-14,1992.39,1992.55,1996.14,1984.3,0,0.01
22,2024-02-13,1992.13,2019.9,2030.05,1990.19,0,-1.37
23,2024-02-12,2019.79,2024.53,2028.09,2011.91,0,-0.22
24,2024-02-09,2024.16,2033.65,2037.44,2020.3,0,-0.44
25,2024-02-08,2033.18,2034.55,2038.94,2019.75,0,-0.05
26,2024-02-07,2034.22,2035.9,2044.65,2030.65,0,-0.06
27,2024-02-06,2035.46,2024.99,2039.02,2022.55,0,0.53
28,2024-02-05,2024.67,2039.91,2042.32,2014.4,0,-0.68
29,2024-02-02,2038.59,2055.09,2058.2,2027.45,0,-0.75
30,2024-02-01,2054.09,2037.59,2065.42,2029.55,0,0.83
31,2024-01-31,2037.19,2036.58,2056.08,2031.0,0,0.05
32,2024-01-30,2036.12,2031.97,2048.48,2029.19,0,0.21
33,2024-01-29,2031.75,2019.4,2037.75,2017.38,0,0.66
34,2024-01-26,2018.34,2019.94,2026.8,2015.97,0,-0.07
35,2024-01-25,2019.75,2012.84,2025.27,2010.15,0,0.36
36,2024-01-24,2012.59,2028.94,2036.74,2011.28,0,-0.74
37,2024-01-23,2027.68,2021.24,2037.92,2019.59,0,0.38
38,2024-01-22,2020.09,2029.9,2032.28,2016.74,0,-0.44
39,2024-01-19,2029.09,2023.05,2039.49,2020.37,0,0.32
40,2024-01-18,2022.67,2006.09,2023.45,2005.43,0,0.85
41,2024-01-17,2005.72,2027.9,2033.05,2001.91,0,-1.08
42,2024-01-16,2027.59,2054.91,2055.65,2024.29,0,-1.31
43,2024-01-15,2054.49,2048.09,2059.25,2045.8,0,0.28
44,2024-01-12,2048.72,2028.3,2062.35,2027.99,0,1.02
45,2024-01-11,2028.09,2023.74,2039.69,2013.32,0,0.23
46,2024-01-10,2023.4,2029.94,2040.44,2020.45,0,-0.31
47,2024-01-09,2029.59,2028.4,2042.09,2026.11,0,0.09
48,2024-01-08,2027.84,2044.08,2046.71,2016.84,0,-0.86
49,2024-01-05,2045.5,2043.69,2064.03,2024.49,0,0.11
50,2024-01-04,2043.26,2041.34,2051.4,2036.24,0,0.15
51,2024-01-03,2040.19,2059.15,2066.12,2030.68,0,-0.89
52,2024-01-02,2058.51,2062.9,2079.02,2056.04,0,-0.26
53,2024-01-01,2063.8,2064.24,2074.9,2063.3,0,0.06
54,2023-12-29,2062.59,2065.15,2075.15,2057.75,0,-0.17
55,2023-12-28,2066.04,2077.34,2088.54,2065.89,0,-0.53
56,2023-12-27,2077.0,2066.7,2084.59,2061.0,0,0.47
57,2023-12-26,2067.2,2055.73,2068.65,2053.59,0,0.6
58,2023-12-25,2054.93,2054.32,2058.36,2053.96,0,0.1
59,2023-12-22,2052.98,2045.84,2070.65,2045.65,0,0.37
60,2023-12-21,2045.49,2029.44,2046.07,2029.44,0,0.8
61,2023-12-20,2029.19,2040.34,2043.94,2029.37,0,-0.54
62,2023-12-19,2040.12,2027.3,2047.07,2021.74,0,0.65
63,2023-12-18,2027.0,2020.09,2033.71,2015.99,0,0.44
64,2023-12-15,2018.19,2035.8,2045.55,2015.68,0,-0.85
65,2023-12-14,2035.53,2026.59,2047.98,2024.33,0,0.45
66,2023-12-13,2026.39,1979.74,2027.55,1973.09,0,2.37
67,2023-12-12,1979.44,1981.59,1996.8,1977.19,0,-0.09
68,2023-12-11,1981.3,2003.6,2008.72,1975.95,0,-1.1
69,2023-12-08,2003.39,2028.69,2034.19,1994.74,0,-1.23
70,2023-12-07,2028.34,2025.3,2039.93,2020.26,0,0.17
71,2023-12-06,2024.9,2019.74,2036.3,2017.27,0,0.27
72,2023-12-05,2019.42,2030.15,2041.33,2010.02,0,-0.52
73,2023-12-04,2030.06,2071.07,2135.72,2020.41,0,-1.97
74,2023-12-01,2070.9,2034.49,2075.34,2033.75,0,1.73
75,2023-11-30,2035.75,2044.8,2047.59,2031.84,0,-0.43
76,2023-11-29,2044.59,2041.24,2052.09,2035.05,0,0.18
77,2023-11-28,2040.89,2013.94,2043.0,2011.6,0,1.35
78,2023-11-27,2013.64,2002.78,2018.14,2000.67,0,0.58
79,2023-11-24,2001.97,1994.06,2003.68,1991.4,0,0.51
80,2023-11-23,1991.79,1990.15,1999.19,1989.01,0,0.1
81,2023-11-22,1989.72,1998.69,2006.9,1986.89,0,-0.43
82,2023-11-21,1998.37,1977.49,2007.52,1977.34,0,1.07
83,2023-11-20,1977.19,1980.39,1985.26,1965.2,0,-0.14
84,2023-11-17,1980.01,1981.21,1993.94,1978.59,0,-0.04
85,2023-11-16,1980.85,1959.44,1988.03,1956.49,0,1.11
86,2023-11-15,1959.09,1963.05,1975.59,1955.41,0,-0.18
87,2023-11-14,1962.67,1946.19,1970.84,1943.4,0,0.86
88,2023-11-13,1945.89,1937.05,1949.27,1931.73,0,0.47
89,2023-11-10,1936.79,1958.4,1960.93,1933.18,0,-1.09
90,2023-11-09,1958.19,1950.09,1965.69,1944.3,0,0.43
91,2023-11-08,1949.79,1968.84,1971.12,1947.48,0,-0.95
92,2023-11-07,1968.4,1978.19,1978.75,1956.2,0,-0.47
93,2023-11-06,1977.68,1992.3,1993.3,1977.52,0,-0.73
94,2023-11-03,1992.27,1985.69,2004.06,1983.26,0,0.34
95,2023-11-02,1985.51,1983.53,1991.49,1978.9,0,0.17
96,2023-11-01,1982.15,1983.01,1992.09,1969.9,0,-0.03
97,2023-10-31,1982.7,1996.0,2007.8,1978.9,0,-0.66
98,2023-10-30,1995.88,2004.8,2007.37,1990.5,0,-0.49
99,2023-10-27,2005.78,1985.17,2009.48,1976.35,0,1.06
100,2023-10-26,1984.82,1979.97,1994.05,1971.6,0,0.26
101,2023-10-25,1979.62,1971.36,1987.19,1963.34,0,0.48
102,2023-10-24,1970.11,1972.97,1980.99,1953.5,0,-0.13
103,2023-10-23,1972.59,1972.9,1983.4,1964.36,0,-0.43
