날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	1997-01-01",108,-1.2,-9.9,8
"	1997-01-02",108,-8.4,-11,-5.1
"	1997-01-03",108,-6.8,-9.9,-2.9
"	1997-01-04",108,-4.6,-10,1
"	1997-01-05",108,-2.2,-6.4,1.6
"	1997-01-06",108,-7,-8.2,-5
"	1997-01-07",108,-5.9,-8.7,-3.3
"	1997-01-08",108,-3.8,-7.6,0.7
"	1997-01-09",108,-2.1,-6.6,1.6
"	1997-01-10",108,-1.3,-5.1,3.3
"	1997-01-11",108,-0.9,-5,4.2
"	1997-01-12",108,0,-2.6,4.2
"	1997-01-13",108,1.5,-3.5,5.8
"	1997-01-14",108,-4.8,-7.3,3
"	1997-01-15",108,-4.8,-9.4,-0.7
"	1997-01-16",108,-1.3,-4.8,2.8
"	1997-01-17",108,0.8,-2.8,3.7
"	1997-01-18",108,-3.5,-5.8,-0.2
"	1997-01-19",108,-3.1,-8.9,2.2
"	1997-01-20",108,0.3,-3.9,5.1
"	1997-01-21",108,-9.7,-12.3,-3.9
"	1997-01-22",108,-8.4,-13.7,-3.2
"	1997-01-23",108,-4.9,-8,-1.3
"	1997-01-24",108,-6.3,-9.4,-1.3
"	1997-01-25",108,-3,-8.5,1.9
"	1997-01-26",108,0.9,-3,5.9
"	1997-01-27",108,1.6,-3.1,6.1
"	1997-01-28",108,-2.3,-5.7,2.2
"	1997-01-29",108,-3.9,-6.7,-0.2
"	1997-01-30",108,-3.6,-8,0.6
"	1997-01-31",108,-3.1,-4.9,-0.9
"	1997-02-01",108,-2.8,-6.5,2.8
"	1997-02-02",108,-3.1,-5.7,1.6
"	1997-02-03",108,-3.5,-8.1,1.7
"	1997-02-04",108,-1.5,-6.8,4.2
"	1997-02-05",108,0,-3.8,4.3
"	1997-02-06",108,-1.5,-3.6,0.9
"	1997-02-07",108,-1.3,-5,3.7
"	1997-02-08",108,0.6,-5.3,6.9
"	1997-02-09",108,2.3,-2.9,8.8
"	1997-02-10",108,0.1,-3.6,4.7
"	1997-02-11",108,-3,-6.3,1.8
"	1997-02-12",108,-2.9,-6.1,1.2
"	1997-02-13",108,-1.3,-6.2,4
"	1997-02-14",108,1.6,-4.3,6.7
"	1997-02-15",108,4.3,1,8.2
"	1997-02-16",108,-4,-7.1,2
"	1997-02-17",108,-2.9,-6.9,1.7
"	1997-02-18",108,-2.2,-5,2.1
"	1997-02-19",108,0.5,-5.2,6
"	1997-02-20",108,3.7,-0.2,9
"	1997-02-21",108,-0.1,-3,3.4
"	1997-02-22",108,-0.1,-6.3,6.3
"	1997-02-23",108,2.8,-3.2,9.5
"	1997-02-24",108,6,-1.3,12.5
"	1997-02-25",108,5.6,4.3,7.6
"	1997-02-26",108,6.6,1.9,12.3
"	1997-02-27",108,8.7,3.6,15.1
"	1997-02-28",108,6.2,3.3,8.7
"	1997-03-01",108,2.9,-0.2,7.7
"	1997-03-02",108,0.6,-2.1,4.6
"	1997-03-03",108,1,-4.3,5.5
"	1997-03-04",108,5.1,0.9,10.1
"	1997-03-05",108,7.6,4.2,12.2
"	1997-03-06",108,6.6,5.4,8
"	1997-03-07",108,6.7,3.7,11.4
"	1997-03-08",108,5.9,1.9,9.8
"	1997-03-09",108,8.7,3.2,13.6
"	1997-03-10",108,8.6,5.8,11.5
"	1997-03-11",108,8.4,3.9,13.8
"	1997-03-12",108,10.7,3.8,18
"	1997-03-13",108,13,6.5,20.2
"	1997-03-14",108,7.6,3.7,11.8
"	1997-03-15",108,4.3,3.5,6.2
"	1997-03-16",108,5,2,9.8
"	1997-03-17",108,5.7,-0.1,12.7
"	1997-03-18",108,6.3,1.3,11.6
"	1997-03-19",108,9,1.7,15.7
"	1997-03-20",108,10.2,4.9,16.4
"	1997-03-21",108,8.4,6.1,12.6
"	1997-03-22",108,8.2,3.6,13.6
"	1997-03-23",108,5.1,1.8,8.7
"	1997-03-24",108,5,0.2,11
"	1997-03-25",108,6.5,0.9,12.9
"	1997-03-26",108,8.7,4.8,14.9
"	1997-03-27",108,9.5,4.3,15.7
"	1997-03-28",108,11.2,5.2,17.2
"	1997-03-29",108,8,2.6,14.1
"	1997-03-30",108,2.4,-0.1,6.9
"	1997-03-31",108,4.3,-1.4,9.1
